System	Evaluation	Label	P	R	F1	TP	FP	FN
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ORG.ADM	0	0.0	0	0	0	3
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ORG.ADM	0.0	0.0	0	0	1	3
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.532	0.612	0.569	41	36	26
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.488	0.627	0.549	42	44	25
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.483	0.627	0.545	42	45	25
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.459	0.582	0.513	39	46	28
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.5	0.333	0.4	2	2	4
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.333	0.333	0.333	2	4	4
team2_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0.222	0.333	0.267	2	7	4
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ORG.ENT	0	0.0	0	0	0	6
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.9	0.9	0.9	18	2	2
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.773	0.85	0.81	17	5	3
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.72	0.9	0.8	18	7	2
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.529	0.45	0.486	9	8	11
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.COLL	0.0	0.0	0	0	3	5
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.COLL	0.0	0.0	0	0	7	5
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.COLL	0.0	0.0	0	0	9	5
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.COLL	0.0	0.0	0	0	6	5
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND	0.721	0.813	0.764	396	153	91
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND	0.742	0.784	0.762	382	133	105
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND	0.712	0.813	0.759	396	160	91
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND	0.682	0.799	0.736	389	181	98
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	PERS.IND	0	0.0	0	0	0	9
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.385	0.5	0.435	5	8	5
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.087	0.2	0.121	2	21	8
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.053	0.1	0.069	1	18	9
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.038	0.1	0.056	1	25	9
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD.DOCTR	0.6	1.0	0.75	3	2	0
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD.DOCTR	0.0	0.0	0	0	2	3
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD.MEDIA	0.807	0.793	0.8	46	11	12
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD.MEDIA	0.768	0.741	0.754	43	13	15
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD.MEDIA	0.75	0.724	0.737	42	14	16
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD.MEDIA	0.661	0.638	0.649	37	19	21
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	PROD.MEDIA	0	0.0	0	0	0	2
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	PROD.MEDIA	0.0	0.0	0	0	2	2
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.531	0.642	0.581	34	30	19
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.515	0.642	0.571	34	32	19
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.493	0.642	0.557	34	35	19
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.463	0.585	0.517	31	36	22
