TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
décembre	I-TIME	_	_	_	_	_	_	_	ENDOFLINE		
1797	I-TIME	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
solliciter	O	_	_	_	_	_	_	_	_		
une	O	_	_	_	_	_	_	_	_		
renonciation	O	_	_	_	_	_	_	_	_		
générale	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
absolue	O	_	_	_	_	_	_	_	ENDOFLINE		
aux	O	_	_	_	_	_	_	_	_		
biens	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	_		
dettes	O	_	_	_	_	_	_	_	_		
présentes	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
futures	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
Jean	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
Baptiste	I-PERS	_	_	_	_	_	_	_	_		
Bourgoin	I-PERS	_	_	_	_	_	_	_	_		
leur	O	_	_	_	_	_	_	_	_		
pe	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
re	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
en	O	_	_	_	_	_	_	_	_		
conséquence	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	ENDOFLINE		
susdits	O	_	_	_	_	_	_	_	_		
enfans	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
duement	O	_	_	_	_	_	_	_	_		
assistés	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
autorisés	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
se	O	_	_	_	_	_	_	_	ENDOFLINE		
présenteront	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
devant	O	_	_	_	_	_	_	_	_		
ia	O	_	_	_	_	_	_	_	_		
noble	O	_	_	_	_	_	_	_	_		
justice	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
Landeron	B-LOC	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
mer	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
credi	O	_	_	_	_	_	_	_	_		
17	O	_	_	_	_	_	_	_	_		
janvier	O	_	_	_	_	_	_	_	_		
courant	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	_		
y	O	_	_	_	_	_	_	_	_		
porter	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
prédite	O	_	_	_	_	_	_	_	ENDOFLINE		
renonciation	O	_	_	_	_	_	_	_	_		
;	O	_	_	_	_	_	_	_	_		
assignant	O	_	_	_	_	_	_	_	_		
péremptoirement	O	_	_	_	_	_	_	_	_		
tous	O	_	_	_	_	_	_	_	_		
ceux	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	ENDOFLINE		
estimeraient	O	_	_	_	_	_	_	_	_		
être	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
fondés	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
s	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
y	O	_	_	_	_	_	_	_	_		
opposer	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
comparcutre	O	_	_	_	_	_	_	_	_		
ce	O	_	_	_	_	_	_	_	_		
jour	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
là	O	_	_	_	_	_	_	_	ENDOFLINE		
en	O	_	_	_	_	_	_	_	_		
dite	O	_	_	_	_	_	_	_	_		
justice	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	_		
hure	O	_	_	_	_	_	_	_	_		
va	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
^	O	_	_	_	_	_	_	_	_		
pir	O	_	_	_	_	_	_	_	_		
leurs	O	_	_	_	_	_	_	_	_		
droits	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
alléguer	O	_	_	_	_	_	_	_	ENDOFLINE		
leurs	O	_	_	_	_	_	_	_	_		
moyens	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
opposW	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
|	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
priS	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
sou	O	_	_	_	_	_	_	_	_		
3	O	_	_	_	_	_	_	_	_		
peine	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
de	O	_	_	_	_	_	_	_	_		
forclusion	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
X	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
En	O	_	_	_	_	_	_	_	_		
vertu	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
un	O	_	_	_	_	_	_	_	_		
gracieux	O	_	_	_	_	_	_	_	_		
arrêt	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
Gouvernement	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
date	O	_	_	_	_	_	_	_	_		
di	O	_	_	_	_	_	_	_	_		
»	O	_	_	_	_	_	_	_	ENDOFLINE		
3	O	_	_	_	_	_	_	_	_		
octobre	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
ensuite	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
direction	O	_	_	_	_	_	_	_	_		
donnée	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
35	O	_	_	_	_	_	_	_	_		
novembre	O	_	_	_	_	_	_	_	ENDOFLINE		
dernier	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
par	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
honorable	O	_	_	_	_	_	_	_	_		
cour	O	_	_	_	_	_	_	_	_		
dé	O	_	_	_	_	_	_	_	_		
justice	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
Val	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
de	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
Travers	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
:	O	_	_	_	_	_	_	_	ENDOFLINE		
le	O	_	_	_	_	_	_	_	_		
sieur	B-PERS	_	_	_	_	_	_	_	_		
Daniel	I-PERS	_	_	_	_	_	_	_	_		
Meuron	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	I-PERS	_	_	_	_	_	_	_	_		
maïUe	I-PERS	_	_	_	_	_	_	_	_		
charpentier	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	I-PERS	_	_	_	_	_	_	_	_		
_	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
bourgeois	I-PERS	_	_	_	_	_	_	_	_		
de	I-PERS	_	_	_	_	_	_	_	ENDOFLINE		
Neuchatel	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
sa	O	_	_	_	_	_	_	_	_		
qualité	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
tuteur	O	_	_	_	_	_	_	_	_		
juridiquement	O	_	_	_	_	_	_	_	_		
établi	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
quatre	O	_	_	_	_	_	_	_	_		
enfans	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
bas	O	_	_	_	_	_	_	_	_		
âge	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Frédéric	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
Henri	I-PERS	_	_	_	_	_	_	_	_		
_	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
Lequin	I-PERS	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
Fleurier	I-PERS	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
Marie	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
Louise	I-PERS	_	_	_	_	_	_	_	_		
Meuron	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
sont	O	_	_	_	_	_	_	_	_		
nommément	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	ENDOFLINE|NOSPACEAFTER		
Jouas	B-PERS	_	_	_	_	_	_	_	_		
Frédéric	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
Auguste	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
Alexandre	B-PERS	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
Louise	B-PERS	_	_	_	_	_	_	_	_		
-	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
Rosalio	I-PERS	_	_	_	_	_	_	_	ENDOFLINE		
Lequin	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
fait	O	_	_	_	_	_	_	_	_		
savoir	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
il	O	_	_	_	_	_	_	_	_		
se	O	_	_	_	_	_	_	_	_		
présentera	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
dite	O	_	_	_	_	_	_	_	_		
justice	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	ENDOFLINE		
samedi	O	_	_	_	_	_	_	_	_		
30	O	_	_	_	_	_	_	_	_		
janvier	O	_	_	_	_	_	_	_	_		
courant	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	_		
y	O	_	_	_	_	_	_	_	_		
solliciter	O	_	_	_	_	_	_	_	_		
eu	O	_	_	_	_	_	_	_	_		
faveur	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
ses	O	_	_	_	_	_	_	_	ENDOFLINE		
susdits	O	_	_	_	_	_	_	_	_		
pupilles	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
une	O	_	_	_	_	_	_	_	_		
renonciation	O	_	_	_	_	_	_	_	_		
formelle	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
jiiridique	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	ENDOFLINE		
bien	O	_	_	_	_	_	_	_	_		
3	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
dettes	O	_	_	_	_	_	_	_	_		
présens	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
*	O	_	_	_	_	_	_	_	_		
futurs	O	_	_	_	_	_	_	_	_		
dudit	O	_	_	_	_	_	_	_	_		
Frédéric	B-PERS	_	_	_	_	_	_	_	_		
Henri	I-PERS	_	_	_	_	_	_	_	ENDOFLINE		
Lequin	I-PERS	_	_	_	_	_	_	_	_		
leur	O	_	_	_	_	_	_	_	_		
père	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
En	O	_	_	_	_	_	_	_	_		
conséquence	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
quoi	O	_	_	_	_	_	_	_	_		
tous	O	_	_	_	_	_	_	_	_		
ceux	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	ENDOFLINE		
pourraient	O	_	_	_	_	_	_	_	_		
opposer	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
ladite	O	_	_	_	_	_	_	_	_		
renonciation	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
sont	O	_	_	_	_	_	_	_	_		
cités	O	_	_	_	_	_	_	_	ENDOFLINE		
péremptoirement	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
se	O	_	_	_	_	_	_	_	_		
présenter	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
justice	O	_	_	_	_	_	_	_	_		
dudit	O	_	_	_	_	_	_	_	_		
Val	I-PERS	_	_	_	_	_	_	_	_		
de	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
Travers	I-LOC	_	_	_	_	_	_	_	_		
1	O	_	_	_	_	_	_	_	_		
©	O	_	_	_	_	_	_	_	ENDOFLINE		
dit	O	_	_	_	_	_	_	_	_		
30	O	_	_	_	_	_	_	_	_		
janvier	O	_	_	_	_	_	_	_	_		
cornant	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
poar	O	_	_	_	_	_	_	_	_		
y	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
seuieuir	O	_	_	_	_	_	_	_	_		
leurs	O	_	_	_	_	_	_	_	_		
durits	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
(	O	_	_	_	_	_	_	_	NOSPACEAFTER		
«	O	_	_	_	_	_	_	_	_		
14	O	_	_	_	_	_	_	_	_		
s	O	_	_	_	_	_	_	_	ENDOFLINE		
pain	O	_	_	_	_	_	_	_	_		
»	O	_	_	_	_	_	_	_	_		
«	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
forclusion	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
AVIS	B-LOC	_	_	_	_	_	_	_	_		
DIVERS	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
1	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Les	O	_	_	_	_	_	_	_	_		
circonstances	O	_	_	_	_	_	_	_	_		
ttu	O	_	_	_	_	_	_	_	_		
moment	O	_	_	_	_	_	_	_	_		
ont	O	_	_	_	_	_	_	_	_		
engage	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
Magistrat	O	_	_	_	_	_	_	_	_		
rie	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Neuchatel	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
renvoyer	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
tirage	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
ia	O	_	_	_	_	_	_	_	_		
première	O	_	_	_	_	_	_	_	_		
classe	O	_	_	_	_	_	_	_	ENDOFLINE		
dix	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
neuvième	O	_	_	_	_	_	_	_	_		
Loterie	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
une	O	_	_	_	_	_	_	_	_		
époque	O	_	_	_	_	_	_	_	_		
plus	O	_	_	_	_	_	_	_	_		
favorable	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
ce	O	_	_	_	_	_	_	_	_		
dont	O	_	_	_	_	_	_	_	ENDOFLINE		
on	O	_	_	_	_	_	_	_	_		
aura	O	_	_	_	_	_	_	_	_		
soin	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
informer	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
public	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
bulletins	O	_	_	_	_	_	_	_	ENDOFLINE		
impri	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
mes	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
seront	O	_	_	_	_	_	_	_	_		
délivrés	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
Collecteurs	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
tous	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	ENDOFLINE		
intéressés	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
g	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	NOSPACEAFTER|ENDOFSENTENCE		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
Tous	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
créanciers	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
masse	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
biens	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
nommé	O	_	_	_	_	_	_	_	ENDOFLINE		
Jean	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
'	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
""""	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
Fréderic	I-PERS	_	_	_	_	_	_	_	_		
/	O	_	_	_	_	_	_	_	_		
Stnuffer	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
meunier	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	_		
moulins	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
Prise	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
sont	O	_	_	_	_	_	_	_	ENDOFLINE		
avisés	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
M	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-PERS	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
maire	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
fixé	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
journée	O	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	_		
procéder	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	ENDOFLINE		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
collocatlons	O	_	_	_	_	_	_	_	_		
au	O	_	_	_	_	_	_	_	_		
vendredi	O	_	_	_	_	_	_	_	_		
16	O	_	_	_	_	_	_	_	_		
février	O	_	_	_	_	_	_	_	_		
courant	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
conséquence	O	_	_	_	_	_	_	_	ENDOFLINE		
de	O	_	_	_	_	_	_	_	_		
quoi	O	_	_	_	_	_	_	_	_		
ils	O	_	_	_	_	_	_	_	_		
sont	O	_	_	_	_	_	_	_	_		
cités	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
se	O	_	_	_	_	_	_	_	_		
présenter	O	_	_	_	_	_	_	_	_		
ce	O	_	_	_	_	_	_	_	_		
jour	O	_	_	_	_	_	_	_	_		
là	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
neuf	O	_	_	_	_	_	_	_	_		
heures	O	_	_	_	_	_	_	_	ENDOFLINE		
""""	O	_	_	_	_	_	_	_	NOSPACEAFTER		
dû	O	_	_	_	_	_	_	_	_		
matin	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
hôtel	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
de	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
ville	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
,	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	NOSPACEAFTER|ENDOFSENTENCE		
,	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	NOSPACEAFTER|ENDOFSENTENCE		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
37	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
Les	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	_		
sœurs	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
Gendre	O	_	_	_	_	_	_	_	_		
ayant	O	_	_	_	_	_	_	_	_		
entiepriE	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
établissement	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	ENDOFLINE		
